Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-02-02,10-Q,293.651,283.237,-3.55,285.095,-2.91
2022-11-22,10-K,305.628,304.629,-0.33,306.616,0.32
2022-08-04,10-Q,253.004,257.824,1.91,259.954,2.75
2022-05-05,10-Q,230.11,229.954,-0.07,225.653,-1.94
2022-02-04,10-Q,254.894,246.464,-3.31,236.785,-7.1
2021-11-18,10-K,285.605,287.051,0.51,283.099,-0.88
2021-08-09,10-Q,264.318,266.35,0.77,269.878,2.1
2021-05-10,10-Q,279.897,286.772,2.46,287.64,2.77
2021-02-04,10-Q,243.479,240.111,-1.38,244.418,0.39
2020-11-19,10-K,255.168,255.281,0.04,262.218,2.76
2020-07-23,10-Q,275.509,273.884,-0.59,267.58,-2.88
2020-04-23,10-Q,197.374,202.522,2.61,210.743,6.77
2020-01-24,10-Q,226.426,216.699,-4.3,221.562,-2.15
2019-11-26,10-K,216.49,218.004,0.7,211.428,-2.34
2019-07-25,10-Q,209.152,211.816,1.27,207.976,-0.56
2019-04-24,10-Q,182.265,182.429,0.09,184.76,1.37
2019-01-25,10-Q,146.171,145.244,-0.63,150.695,3.09
2018-11-20,10-K,142.148,143.609,1.03,143.14,0.7
2018-07-26,10-Q,144.796,144.518,-0.19,143.398,-0.97
2018-04-26,10-Q,147.994,146.864,-0.76,142.779,-3.52
2018-01-26,10-Q,150.111,147.301,-1.87,143.916,-4.13
2017-11-16,10-K,141.627,141.978,0.25,141.96,0.24
2017-08-01,10-Q,130.043,129.336,-0.54,127.362,-2.06
2017-04-27,10-Q,122.406,121.886,-0.43,125.581,2.59
2017-01-27,10-Q,122.34,121.461,-0.72,120.746,-1.3
2016-11-21,10-K,119.671,119.645,-0.02,122.865,2.67
2016-07-29,10-Q,117.629,117.417,-0.18,117.464,-0.14
2016-04-28,10-Q,116.201,114.128,-1.78,112.063,-3.56
2016-01-29,10-Q,98.536,102.074,3.59,105.449,7.02
2015-11-24,10-K,107.799,106.933,-0.8,107.049,-0.7
2015-07-30,10-Q,109.306,109.436,0.12,112.9,3.29
2015-04-30,10-Q,109.515,111.935,2.21,111.622,1.92
2015-01-30,10-Q,110.59,112.162,1.42,114.167,3.23
2014-11-24,10-K,109.366,109.819,0.41,108.656,-0.65
2014-07-24,10-Q,101.537,102.07,0.53,99.125,-2.37
2014-04-24,10-Q,88.452,87.459,-1.12,87.683,-0.87
2014-01-29,10-Q,78.64,78.581,-0.08,77.349,-1.64
2013-11-26,10-K,80.249,80.448,0.25,79.217,-1.29
2013-07-24,10-Q,73.658,78.456,6.51,79.576,8.03
2013-04-25,10-Q,62.535,62.23,-0.49,64.738,3.52
2013-01-25,10-Q,63.725,63.473,-0.4,63.992,0.42
2012-11-20,10-K,58.413,58.649,0.4,59.014,1.03
2012-07-27,10-Q,57.715,57.771,0.1,58.411,1.21
2012-04-27,10-Q,60.265,60.216,-0.08,60.237,-0.05
2012-01-27,10-Q,61.681,61.779,0.16,63.227,2.51
2011-11-22,10-K,54.738,53.445,-2.36,58.176,6.28
2011-07-27,10-Q,61.976,61.41,-0.91,59.562,-3.89
2011-04-26,10-Q,65.181,64.982,-0.3,64.667,-0.79
2011-01-26,10-Q,59.185,58.791,-0.67,60.629,2.44
2010-11-23,10-K,57.276,58.617,2.34,58.509,2.15
2010-07-26,10-Q,49.017,48.727,-0.59,50.492,3.01
2010-04-26,10-Q,52.807,51.751,-2.0,51.477,-2.52
2010-01-26,10-Q,52.844,52.366,-0.9,50.878,-3.72
